impact_trading_day,post_count,smoothed,spike_presence,spike_intensity,loess_upper
2025-06-02,2,2.0,0,0.0,2.0
2025-06-04,2,2.0,0,0.0,2.0
2025-06-06,1,1.0,0,0.0,1.0
2025-06-09,4,4.0,0,0.0,4.0
2025-06-11,1,1.0,0,0.0,1.0
2025-06-27,1,1.0,0,0.0,1.0
2025-07-03,1,1.0,0,0.0,1.0
2025-07-10,1,1.0,0,0.0,1.0
2025-07-17,1,1.0,0,0.0,1.0
2025-07-22,1,1.0,0,0.0,1.0
2025-07-23,2,2.0,0,0.0,2.0
2025-07-28,2,2.0,0,0.0,2.0
2025-07-29,1,1.0,0,0.0,1.0
2025-07-30,1,1.0,0,0.0,1.0
2025-08-04,1,1.0,0,0.0,1.0
2025-08-05,1,1.0,0,0.0,1.0
2025-08-13,1,1.0,0,0.0,1.0
2025-08-14,1,1.0,0,0.0,1.0
2025-08-15,1,1.0,0,0.0,1.0
2025-08-18,3,3.0,0,0.0,3.0
2025-08-25,1,1.0,0,0.0,1.0
2025-09-09,1,1.0,0,0.0,1.0
2025-09-10,1,1.0,0,0.0,1.0
2025-09-15,1,1.0,0,0.0,1.0
2025-09-16,1,1.0,0,0.0,1.0
2025-09-19,2,2.0,0,0.0,2.0
2025-09-22,1,1.0,0,0.0,1.0
2025-09-29,3,3.0,0,0.0,3.0
2025-10-06,2,2.0,0,0.0,2.0
2025-10-08,1,1.0,0,0.0,1.0
2025-10-09,1,1.0,0,0.0,1.0
2025-10-10,1,1.0,0,0.0,1.0
2025-10-14,1,1.0,0,0.0,1.0
2025-10-15,1,1.0,0,0.0,1.0
2025-10-21,1,1.0,0,0.0,1.0
2025-10-22,26,26.0,0,0.0,26.0
2025-10-23,9,9.0,0,0.0,9.0
