"date","daily_sentiment"
"2025-07-22","0.87"
"2025-07-21","0.9183333333333333"
"2025-07-18","0.8775"
"2025-07-17","0.46799999999999997"
"2025-07-16","0.8"
"2025-07-14","0.95"
"2025-07-11","0.9299999999999999"
"2025-07-10","0.39249999999999996"
"2025-07-09","-0.09499999999999997"
"2025-07-07","0.871111111111111"
"2025-07-03","0.89"
"2025-07-02","0.47"
"2025-07-01","0.9314285714285715"
"2025-06-30","0.9133333333333334"
"2025-06-26","0.8"
"2025-06-25","0.8825000000000001"
"2025-06-24","0.91"
"2025-06-23","0.4699999999999999"
"2025-06-20","0.8200000000000001"
"2025-06-18","0.75"
"2025-06-17","-0.020000000000000018"
"2025-06-16","0.3385714285714285"
"2025-06-13","-1"
"2025-06-12","0.21666666666666665"
"2025-06-11","0.8557142857142858"
"2025-06-10","0.8862499999999999"
"2025-06-09","0.81"
"2025-06-06","0.7571428571428571"
"2025-06-05","0.6688888888888888"
"2025-06-04","0.798"
"2025-06-02","0.76"
"2025-05-30","0.94"
"2025-05-28","0.3133333333333333"
"2025-05-27","0.557142857142857"
"2025-05-23","0.89"
"2025-05-22","0.84"
"2025-05-21","0.3133333333333333"
"2025-05-20","0.8516666666666667"
"2025-05-19","0.93"
"2025-05-16","0.79"
"2025-05-15","0.82"
"2025-05-14","0.24500000000000002"
"2025-05-13","0.35250000000000004"
"2025-05-12","0.8533333333333334"
"2025-05-09","0.7999999999999999"
"2025-05-08","0.51"
"2025-05-07","0.9099999999999999"
"2025-05-05","0.67"
"2025-05-02","0.98"
"2025-05-01","0.815"
"2025-04-30","0.9"
"2025-04-29","0.2733333333333333"
"2025-04-28","0.6666666666666666"
"2025-04-25","0.74"
"2025-04-24","0.5"
"2025-04-23","0.33428571428571435"
"2025-04-22","0.89"
"2025-04-21","0.94"
"2025-04-17","0.7150000000000001"
"2025-04-16","0.86"
"2025-04-14","0.8200000000000001"
"2025-04-11","0.92"
"2025-04-10","1"
"2025-04-09","0.76"
"2025-04-08","1"
"2025-04-07","-0.04999999999999999"
"2025-04-04","-1"
"2025-04-02","-1"
"2025-03-31","0.63"
"2025-03-28","0.82"
"2025-03-27","0.89"
"2025-03-24","0.3975"
"2025-03-21","0.27999999999999997"
"2025-03-20","0.23333333333333336"
"2025-03-18","0.8033333333333333"
"2025-03-17","-0.08500000000000002"
"2025-03-14","0.98"
"2025-03-13","0.99"
"2025-03-12","-1"
"2025-03-11","0.91"
"2025-03-10","-0.10999999999999999"
"2025-03-06","0.3333333333333333"
"2025-03-05","0.9"
"2025-03-04","0.77"
"2025-03-03","0.9"
"2025-02-28","1"
"2025-02-27","1"
"2025-02-26","0.875"
"2025-02-25","0.71"
"2025-02-24","0.9066666666666666"
"2025-02-21","0.925"
"2025-02-20","0.84"
"2025-02-19","0.825"
"2025-02-18","0.6228571428571429"
"2025-02-14","0"
"2025-02-13","1"
"2025-02-12","0.27"
"2025-02-11","0.985"
"2025-02-10","0.935"
"2025-02-07","0.955"
"2025-02-06","0.85"
"2025-02-05","0.83"
"2025-02-04","-0.43333333333333335"
"2025-02-03","0.87"
"2025-01-30","0.2966666666666667"
"2025-01-29","0.0014285714285713982"
"2025-01-28","-1"
"2025-01-27","0.88"
"2025-01-24","0.9450000000000001"
"2025-01-22","0.9"
"2025-01-21","0.516"
"2025-01-17","1"
"2025-01-16","1"
"2025-01-15","0.94"
"2025-01-14","0.545"
"2025-01-13","0.25"
"2025-01-10","0.9099999999999999"
