Date,Open,High,Low,Close,Volume,last_earnings_date,days_since_earning,month,day_of_week,quarter,year,is_month_end,is_month_start,return_1d,rolling_volatility,time_idx,unique_id
2022-08-25,16.818790101485074,17.920139924082378,16.807806884713354,17.88619041442871,770691000,2022-08-24 16:20:00-04:00,0.0,8,3,3,2022,0,0,0.040123121985977006,0.03796654945877074,0,NVDA
2022-08-26,17.830276401600646,17.89717556881222,16.212699979656055,16.235666275024414,769127000,2022-08-24 16:20:00-04:00,1.0,8,4,3,2022,0,0,-0.09227924455466086,0.04208227052154308,1,NVDA
2022-08-29,15.996023465490442,16.313546405492897,15.743401869330192,15.777350425720215,496132000,2022-08-24 16:20:00-04:00,4.0,8,0,3,2022,0,0,-0.02822895232881406,0.0414718263608536,2,NVDA
2022-08-30,15.936114218575517,16.01499550682962,15.159278699334202,15.44485092163086,530181000,2022-08-24 16:20:00-04:00,5.0,8,1,3,2022,0,0,-0.021074483048010073,0.037291326069619046,3,NVDA
2022-08-31,15.360973210992581,15.516739848912291,14.936609156194693,15.071407318115234,573710000,2022-08-24 16:20:00-04:00,6.0,8,2,3,2022,1,0,-0.024179165303085504,0.03746246920759203,4,NVDA
2022-09-01,14.187733782213392,14.358478335570249,13.25013995615082,13.916141510009766,1178865000,2022-08-24 16:20:00-04:00,7.0,9,3,3,2022,0,1,-0.0766528157404972,0.037727187561756345,5,NVDA
2022-09-02,14.078898539427627,14.149791428714654,13.57065952390529,13.62657642364502,743157000,2022-08-24 16:20:00-04:00,8.0,9,4,3,2022,0,0,-0.0208078572754139,0.036163975571785946,6,NVDA
2022-09-06,13.710447806930752,13.758376297193559,13.33101646500855,13.444846153259277,535751000,2022-08-24 16:20:00-04:00,12.0,9,1,3,2022,0,0,-0.013336458457048783,0.03602450317000389,7,NVDA
2022-09-07,13.546727148731872,13.821397781544764,13.329987492744445,13.697546005249023,512657000,2022-08-24 16:20:00-04:00,13.0,9,2,3,2022,0,0,0.01879529517178491,0.03766656151888681,8,NVDA
2022-09-08,13.44285112204903,13.991193154533821,13.352959906875688,13.973214149475098,624873000,2022-08-24 16:20:00-04:00,14.0,9,3,3,2022,0,0,0.020125367282609385,0.037342580079821705,9,NVDA
2022-09-09,14.140012160343346,14.45663217073669,14.109050173580943,14.369736671447754,486612000,2022-08-24 16:20:00-04:00,15.0,9,4,3,2022,0,0,0.02837733092264605,0.03843061244038943,10,NVDA
2022-09-12,14.3517581199462,14.529544023025807,14.18096283409226,14.487594604492188,484159000,2022-08-24 16:20:00-04:00,18.0,9,0,3,2022,0,0,0.008201815784043776,0.03776753385492169,11,NVDA
2022-09-13,13.785438268416998,13.905294159527363,13.083281768118063,13.115242958068848,714956000,2022-08-24 16:20:00-04:00,19.0,9,1,3,2022,0,0,-0.09472598342845773,0.043381088798884644,12,NVDA
2022-09-14,13.238094763310873,13.274051814379163,12.897504363348427,13.1122465133667,588507000,2022-08-24 16:20:00-04:00,20.0,9,2,3,2022,0,0,-0.00022847039217865905,0.04329168241311152,13,NVDA
2022-09-15,12.999380851810937,13.217118685798233,12.77465049657677,12.913483619689941,523625000,2022-08-24 16:20:00-04:00,21.0,9,3,3,2022,0,0,-0.015158569012116874,0.039947049788681833,14,NVDA
2022-09-16,12.726710080303743,13.196146378501451,12.601860071928924,13.18216323852539,670751000,2022-08-24 16:20:00-04:00,22.0,9,4,3,2022,0,0,0.020806129991583155,0.03592294910942619,15,NVDA
2022-09-19,12.99638795831905,13.446847050520544,12.99439050275402,13.365943908691406,569685000,2022-08-24 16:20:00-04:00,25.0,9,0,3,2022,0,0,0.013941616928920153,0.03641615730625649,16,NVDA
2022-09-20,13.19914238617269,13.466820440382488,13.041331990997975,13.160188674926758,524818000,2022-08-24 16:20:00-04:00,26.0,9,1,3,2022,0,0,-0.015393992012105673,0.03632845547285454,17,NVDA
2022-09-21,13.197144886473634,14.014163138166957,13.09426784489799,13.245086669921875,807679000,2022-08-24 16:20:00-04:00,27.0,9,2,3,2022,0,0,0.00645112293540806,0.03637856655143081,18,NVDA
2022-09-22,13.054317080071293,13.133222760896917,12.413088166449539,12.545928001403809,759162000,2022-08-24 16:20:00-04:00,28.0,9,3,3,2022,0,0,-0.05278626602767189,0.033376691753592216,19,NVDA
2022-09-23,12.405096807170457,12.595867603171111,12.24229229089388,12.500981330871582,663309000,2022-08-24 16:20:00-04:00,29.0,9,4,3,2022,0,0,-0.0035825704186408514,0.03313876478093144,20,NVDA
2022-09-26,12.476012323928597,12.64381096305465,12.199344267287245,12.213327407836914,547343000,2022-08-24 16:20:00-04:00,32.0,9,0,3,2022,0,0,-0.023010507369073285,0.03341204486064467,21,NVDA
2022-09-27,12.49199173171832,12.720717026131021,12.243290932361806,12.398104667663574,553854000,2022-08-24 16:20:00-04:00,33.0,9,1,3,2022,0,0,0.01512914979320823,0.033214017745392135,22,NVDA
2022-09-28,12.395108402179584,12.807612927319292,12.339175843524695,12.720717430114746,542414000,2022-08-24 16:20:00-04:00,34.0,9,2,3,2022,0,0,0.026021135576682397,0.033613382204320065,23,NVDA
2022-09-29,12.433064606918302,12.485002262049875,11.931667060858953,12.205338478088379,532763000,2022-08-24 16:20:00-04:00,35.0,9,3,3,2022,0,0,-0.04051492809723689,0.03321187398316454,24,NVDA
2022-09-30,12.072493970935493,12.617839182240743,12.060508288624295,12.124431610107422,565638000,2022-08-24 16:20:00-04:00,36.0,9,4,3,2022,1,0,-0.006628809854491546,0.03278397470360164,25,NVDA
2022-10-03,12.332184417959828,12.66278756428956,12.090474225179374,12.496986389160156,547478000,2022-08-24 16:20:00-04:00,39.0,10,0,4,2022,0,0,0.030727607778508803,0.024589329868189347,26,NVDA
2022-10-04,12.863544835805731,13.204136190107327,12.863544835805731,13.151199340820312,584182000,2022-08-24 16:20:00-04:00,40.0,10,1,4,2022,0,0,0.05234965705232897,0.028736774372441445,27,NVDA
2022-10-05,12.895506835206982,13.305014675934647,12.605854878165715,13.193148612976074,507131000,2022-08-24 16:20:00-04:00,41.0,10,2,4,2022,0,0,0.003189767797493248,0.028379142926345625,28,NVDA
2022-10-06,13.20413661584121,13.639613297811657,13.087276433613106,13.11424446105957,644157000,2022-08-24 16:20:00-04:00,42.0,10,3,4,2022,0,0,-0.005980691511266567,0.027905989436329756,29,NVDA
2022-10-07,12.489995225103874,12.654797201659376,12.007574980325952,12.06151008605957,672478000,2022-08-24 16:20:00-04:00,43.0,10,4,4,2022,0,0,-0.08027411553337349,0.034793916905100065,30,NVDA
2022-10-10,12.022555556989856,12.109451052143639,11.394310633276682,11.655996322631836,698699000,2022-08-24 16:20:00-04:00,46.0,10,0,4,2022,0,0,-0.03362048039875354,0.03547708198032079,31,NVDA
2022-10-11,11.547126254028573,11.83178409135809,11.26945998596596,11.572096824645996,667482000,2022-08-24 16:20:00-04:00,47.0,10,1,4,2022,0,0,-0.007197968810520039,0.035235003930192625,32,NVDA
2022-10-12,11.56510792783292,11.720919942853115,11.331388476507488,11.486202239990234,492590000,2022-08-24 16:20:00-04:00,48.0,10,2,4,2022,0,0,-0.007422560142499424,0.032908956553536525,33,NVDA
2022-10-13,10.957835535283426,12.063507588455623,10.800025128253889,11.945649147033691,850103000,2022-08-24 16:20:00-04:00,49.0,10,3,4,2022,0,0,0.039999897045504884,0.035119178737843454,34,NVDA
2022-10-14,12.04253056747167,12.09646566306745,11.190554564271359,11.213526725769043,713432000,2022-08-24 16:20:00-04:00,50.0,10,4,4,2022,0,0,-0.06128778873824925,0.03818184957953058,35,NVDA
2022-10-17,11.504179495701797,11.933663854503429,11.503181244233529,11.873735427856445,580774000,2022-08-24 16:20:00-04:00,53.0,10,0,4,2022,0,0,0.05887609832598173,0.04162544226635827,36,NVDA
2022-10-18,12.329187034111122,12.477009197539308,11.604058403445793,11.95263957977295,659362000,2022-08-24 16:20:00-04:00,54.0,10,1,4,2022,0,0,0.006645267817858791,0.040928766411146136,37,NVDA
2022-10-19,11.864746477327648,12.335182010035938,11.81980039518953,12.036540031433105,523131000,2022-08-24 16:20:00-04:00,55.0,10,2,4,2022,0,0,0.007019407813662948,0.03958517172030566,38,NVDA
2022-10-20,12.098463940273094,12.753676857079665,12.090473167129646,12.179367065429688,652398000,2022-08-24 16:20:00-04:00,56.0,10,3,4,2022,0,0,0.011866120465149788,0.03966472027746383,39,NVDA
2022-10-21,12.08348184147233,12.483002408632712,11.872735554326965,12.451040267944336,609494000,2022-08-24 16:20:00-04:00,57.0,10,4,4,2022,0,0,0.022306019767297736,0.039241845144362054,40,NVDA
2022-10-24,12.492990972974244,12.694748240906902,12.049523522041948,12.583881378173828,517457000,2022-08-24 16:20:00-04:00,60.0,10,0,4,2022,0,0,0.010669077231361568,0.036486836188657605,41,NVDA
2022-10-25,12.678767625696967,13.284040381036611,12.648802939445655,13.245086669921875,505482000,2022-08-24 16:20:00-04:00,61.0,10,1,4,2022,0,0,0.052543827446981384,0.039352173499670726,42,NVDA
2022-10-26,12.85355660958712,13.371932869070665,12.692749570939775,12.880523681640625,532953000,2022-08-24 16:20:00-04:00,62.0,10,2,4,2022,0,0,-0.027524394318168777,0.04006140712695794,43,NVDA
2022-10-27,13.613644355412672,13.821394941977852,13.106253573034632,13.160188674926758,583113000,2022-08-24 16:20:00-04:00,63.0,10,3,4,2022,0,0,0.021712237809457635,0.03311552436285168,44,NVDA
2022-10-28,13.088276375463284,13.833381526744795,13.045327750919178,13.817399978637695,521040000,2022-08-24 16:20:00-04:00,64.0,10,4,4,2022,0,0,0.049939352690518746,0.03280723918225757,45,NVDA
2022-10-31,13.761464482888156,13.821392894183631,13.281041798901143,13.480801582336426,486341000,2022-08-24 16:20:00-04:00,67.0,10,0,4,2022,1,0,-0.024360472796739252,0.033911025224319345,46,NVDA
2022-11-01,13.794425734866314,13.908289247193713,13.502776337532811,13.526747703552246,432817000,2022-08-24 16:20:00-04:00,68.0,11,1,4,2022,0,1,0.0034082632946710323,0.0335679686969278,47,NVDA
2022-11-02,13.833379732732721,14.192947372971393,13.19514662360441,13.203136444091797,672628000,2022-08-24 16:20:00-04:00,69.0,11,2,4,2022,0,0,-0.023923803899696172,0.03385260057860658,48,NVDA
2022-11-03,13.027348181306232,13.764462472605558,12.940452690922356,13.40489387512207,500065000,2022-08-24 16:20:00-04:00,70.0,11,3,4,2022,0,0,0.015281022951221246,0.027423168497396212,49,NVDA
2022-11-04,13.969217209960792,14.211925646505437,13.680563492193205,14.139013290405273,612576000,2022-08-24 16:20:00-04:00,71.0,11,4,4,2022,0,0,0.05476503000487343,0.026913436635859853,50,NVDA
