date,time_idx,close,volume,last_earnings_date,days_since_earning,month,day_of_week,quarter,year,is_month_end,is_month_start,return_1d,rolling_volatility,unique_id,daily_sentiment,post_count,spike_presence,spike_intensity,has_sentiment,daily_sentiment_mean_3,daily_sentiment_std_3,daily_sentiment_mean_7,daily_sentiment_std_7,daily_sentiment_mean_14,daily_sentiment_std_14,has_spike
2/3/25,0,116.6345978,371235700,2024-11-20 16:20:00-05:00,74,2,0,1,2025,0,0,-0.028400088,0.059422248,NVDA,-1,2,0,0,1,0,0,0,0,0,0,1
2/4/25,1,118.6241608,256550000,2024-11-20 16:20:00-05:00,75,2,1,1,2025,0,0,0.017058086,0.059774255,NVDA,0,2,0,0,1,-1,0,-1,0,-1,0,1
2/5/25,2,124.8028183,262230800,2024-11-20 16:20:00-05:00,76,2,2,1,2025,0,0,0.052085996,0.060883181,NVDA,1,1,0,0,1,-0.5,0.707106781,-0.5,0.707106781,-0.5,0.707106781,1
2/6/25,3,128.6519623,251483600,2024-11-20 16:20:00-05:00,77,2,3,1,2025,0,0,0.030841803,0.061404903,NVDA,0.253715456,4,0,0,1,0,1,0,1,0,1,1
2/7/25,4,129.8117065,228186300,2024-11-20 16:20:00-05:00,78,2,4,1,2025,0,0,0.009014587,0.060807561,NVDA,,0,0,0,0,0.417905152,0.519825636,0.063428864,0.826292654,0.063428864,0.826292654,0
2/10/25,5,133.5409088,216989100,2024-11-20 16:20:00-05:00,81,2,0,1,2025,0,0,0.028727781,0.06102104,NVDA,0.905214091,3,0,0,1,0.626857728,0.527702862,0.063428864,0.826292654,0.063428864,0.826292654,1
2/11/25,6,132.7710876,178902400,2024-11-20 16:20:00-05:00,82,2,1,1,2025,0,0,-0.005764684,0.059551837,NVDA,0.851779759,1,0,0,1,0.579464773,0.460679103,0.231785909,0.808572901,0.231785909,0.808572901,1
2/12/25,7,131.1114349,160278600,2024-11-20 16:20:00-05:00,83,2,2,1,2025,0,0,-0.012500106,0.059547399,NVDA,,0,0,0,0,0.878496925,0.037783779,0.335118218,0.766222882,0.335118218,0.766222882,0
2/13/25,8,135.2605286,197430000,2024-11-20 16:20:00-05:00,84,2,3,1,2025,0,0,0.031645551,0.05990629,NVDA,,0,0,0,0,0.878496925,0.037783779,0.602141861,0.446217082,0.335118218,0.766222882,0
2/14/25,9,138.8197632,195479600,2024-11-20 16:20:00-05:00,85,2,4,1,2025,0,0,0.026313919,0.035721849,NVDA,-0.044558436,2,0,0,1,0.851779759,0.037783779,0.752677326,0.338240649,0.335118218,0.766222882,1
2/18/25,10,139.3696442,219176600,2024-11-20 16:20:00-05:00,89,2,1,1,2025,0,0,0.003961115,0.027965933,NVDA,0.516594291,6,1,1.352205783,1,-0.044558436,0.037783779,0.491537717,0.463630954,0.280878696,0.714031792,1
2/19/25,11,139.1996765,167536000,2024-11-20 16:20:00-05:00,90,2,2,1,2025,0,0,-0.001219546,0.024655162,NVDA,,0,0,0,0,0.236017928,0.396794898,0.557257426,0.436521503,0.310343145,0.66629734,0
2/20/25,12,140.079483,143903600,2024-11-20 16:20:00-05:00,91,2,3,1,2025,0,0,0.006320464,0.024662438,NVDA,,0,0,0,0,0.236017928,0.396794898,0.557257426,0.436521503,0.310343145,0.66629734,0
2/21/25,13,134.4007111,228217600,2024-11-20 16:20:00-05:00,92,2,4,1,2025,0,0,-0.040539641,0.025214884,NVDA,0.92727226,2,0,0,1,0.516594291,0.396794898,0.441271871,0.452891422,0.310343145,0.66629734,1
2/24/25,14,130.2516327,251381100,2024-11-20 16:20:00-05:00,95,2,0,1,2025,0,0,-0.030870955,0.025499293,NVDA,0,2,0,0,1,0.92727226,0.396794898,0.466436038,0.487853065,0.378890825,0.656313329,1
2/25/25,15,126.6024246,271428700,2024-11-20 16:20:00-05:00,96,2,1,1,2025,0,0,-0.028016601,0.027093288,NVDA,1,2,0,0,1,0.46363613,0.655680503,0.349827029,0.461581759,0.490001936,0.443999539,1
2/26/25,16,131.2514191,322553800,2024-11-20 16:20:00-05:00,97,2,2,1,2025,0,0,0.036721212,0.025290439,NVDA,0.95101124,2,0,0,1,0.642424087,0.557542699,0.479861623,0.494305845,0.601113047,0.430982851,1
2/27/25,17,120.1238403,443175800,2025-02-26 16:20:00-05:00,0,2,3,1,2025,0,0,-0.084780636,0.033396173,NVDA,,0,0,0,0,0.65033708,0.563740821,0.678975558,0.426053647,0.595669851,0.425590918,0
2/28/25,18,124.8927917,389091100,2025-02-26 16:20:00-05:00,1,2,4,1,2025,1,0,0.039700291,0.035294255,NVDA,,0,0,0,0,0.97550562,0.034640284,0.719570875,0.480668717,0.638414151,0.433832032,0
3/3/25,19,114.0351563,411381400,2025-02-26 16:20:00-05:00,4,3,0,1,2025,0,0,-0.086935646,0.040639274,NVDA,-0.178937882,2,0,0,1,0.95101124,0.034640284,0.719570875,0.480668717,0.638414151,0.433832032,1
3/4/25,20,115.9647369,398163300,2025-02-26 16:20:00-05:00,5,3,1,1,2025,0,0,0.016920928,0.041286549,NVDA,,0,0,0,0,-0.178937882,0.034640284,0.539869124,0.57857187,0.502895154,0.502483912,0
3/5/25,21,117.2744522,284337900,2025-02-26 16:20:00-05:00,6,3,2,1,2025,0,0,0.011294082,0.041611242,NVDA,,0,0,0,0,-0.178937882,0.034640284,0.44301834,0.619510599,0.453054496,0.520948089,0
3/6/25,22,110.5459213,321181900,2025-02-26 16:20:00-05:00,7,3,3,1,2025,0,0,-0.057374226,0.0420335,NVDA,,0,0,0,0,-0.178937882,0.034640284,0.590691119,0.666968196,0.453054496,0.520948089,0
3/7/25,23,112.6654587,341755500,2025-02-26 16:20:00-05:00,8,3,4,1,2025,0,0,0.019173365,0.041554283,NVDA,,0,0,0,0,-0.178937882,0.034640284,0.386036679,0.798994687,0.453054496,0.520948089,0
3/10/25,24,106.9566956,366487400,2025-02-26 16:20:00-05:00,11,3,0,1,2025,0,0,-0.050670038,0.042298874,NVDA,,0,0,0,0,-0.178937882,0.034640284,-0.178937882,0.798994687,0.535989985,0.51757764,0
3/11/25,25,108.7363129,354865700,2025-02-26 16:20:00-05:00,12,3,1,1,2025,0,0,0.016638671,0.043101499,NVDA,0.90924263,1,0,0,1,-0.178937882,0.034640284,-0.178937882,0.798994687,0.539869124,0.57857187,1
3/12/25,26,115.725441,323857500,2025-02-26 16:20:00-05:00,13,3,2,1,2025,0,0,0.064275934,0.047979497,NVDA,-1,1,0,0,1,0.90924263,0.034640284,0.365152374,0.769459819,0.601431375,0.539013721,1
3/13/25,27,115.5654602,299033100,2025-02-26 16:20:00-05:00,14,3,3,1,2025,0,0,-0.001382417,0.047354046,NVDA,-1,1,0,0,1,-0.045378685,1.350038411,-0.045378685,1.350038411,0.372655464,0.780052614,1
3/14/25,28,121.6546936,277593500,2025-02-26 16:20:00-05:00,15,3,4,1,2025,0,0,0.052690773,0.049684405,NVDA,0,1,0,0,1,-0.36358579,1.102301746,-0.36358579,1.102301746,0.097330855,0.884764586,1
3/17/25,29,119.5149612,255501500,2025-02-26 16:20:00-05:00,18,3,0,1,2025,0,0,-0.017588572,0.049368914,NVDA,0.706897974,1,0,0,1,-0.666666667,0.577350269,-0.272689342,0.918201911,0.097330855,0.884764586,1
3/18/25,30,115.4154739,299686900,2025-02-26 16:20:00-05:00,19,3,1,1,2025,0,0,-0.034301039,0.04862208,NVDA,0.937507868,2,0,0,1,-0.097700675,0.857632928,-0.076771879,0.907876272,0.055459137,0.840767312,1
3/19/25,31,117.5052109,273426200,2025-02-26 16:20:00-05:00,20,3,2,1,2025,0,0,0.018106211,0.043649398,NVDA,,0,0,0,0,0.548135281,0.488502247,0.092274745,0.911510849,0.053530084,0.83838221,0
3/20/25,32,118.5150833,248829700,2025-02-26 16:20:00-05:00,21,3,3,1,2025,0,0,0.008594278,0.042203849,NVDA,0.864379168,1,0,0,1,0.822202921,0.16306582,0.092274745,0.911510849,0.053530084,0.83838221,1
3/21/25,33,117.6851883,266498500,2025-02-26 16:20:00-05:00,22,3,4,1,2025,0,0,-0.007002442,0.034699946,NVDA,,0,0,0,0,0.900943518,0.0517098,0.084797502,0.903618658,0.15488622,0.827440122,0
3/24/25,34,121.3947296,228452500,2025-02-26 16:20:00-05:00,25,3,0,1,2025,0,0,0.031520885,0.035369498,NVDA,,0,0,0,0,0.864379168,0.0517098,0.301757002,0.817081797,0.202575377,0.881782453,0
3/25/25,35,120.6748199,167447200,2025-02-26 16:20:00-05:00,26,3,1,1,2025,0,0,-0.005930321,0.035390408,NVDA,,0,0,0,0,0.864379168,0.0517098,0.627196252,0.429059645,0.202575377,0.881782453,0
3/26/25,36,113.7456894,293463300,2025-02-26 16:20:00-05:00,27,3,2,1,2025,0,0,-0.057419854,0.03539636,NVDA,-1,1,0,0,1,0.864379168,0.0517098,0.83626167,0.117848106,0.202575377,0.881782453,1
3/27/25,37,111.4159851,236902100,2025-02-26 16:20:00-05:00,28,3,3,1,2025,0,0,-0.020481693,0.035556267,NVDA,,0,0,0,0,-1,0.0517098,0.267295678,1.098119167,0.052253455,0.920454536,0
