date,time_idx,close,volume,last_earnings_date,days_since_earning,month,day_of_week,quarter,year,is_month_end,is_month_start,rolling_volatility,return_1d,unique_id,daily_sentiment,spike_impact_trading_day,spike_post_count,spike_spike_presence,spike_spike_intensity,has_sentiment,daily_sentiment_mean_3,daily_sentiment_std_3,daily_sentiment_mean_7,daily_sentiment_std_7,daily_sentiment_mean_14,daily_sentiment_std_14,has_spike
2/3/25,0,383.6799927,93732100,2025-01-29 16:12:00-05:00,4,2,0,1,2025,0,0,12.13832883,-0.05170542,TSLA,0.846910924,2/3/25,4,0,0,1,0.846910924,1.070260978,0.846910924,1.070260978,0.846910924,1.070260978,0
2/4/25,1,392.2099915,57072200,2025-01-29 16:12:00-05:00,5,2,1,1,2025,0,0,10.0202628,0.022232066,TSLA,-0.666666667,2/4/25,1,0,0,1,0.846910924,1.070260978,0.846910924,1.070260978,0.846910924,1.070260978,0
2/5/25,2,378.1700134,57223300,2025-01-29 16:12:00-05:00,6,2,2,1,2025,0,0,10.59021072,-0.035797094,TSLA,0.868623197,2/5/25,1,0,0,1,0.090122128,1.070260978,0.090122128,1.070260978,0.090122128,1.070260978,0
2/6/25,3,374.3200073,77918200,2025-01-29 16:12:00-05:00,7,2,3,1,2025,0,0,10.97109866,-0.010180622,TSLA,0,2/6/25,1,0,0,1,0.349622485,0.880199173,0.349622485,0.880199173,0.349622485,0.880199173,0
2/7/25,4,361.6199951,70298300,2025-01-29 16:12:00-05:00,8,2,4,1,2025,0,0,13.45403758,-0.033928222,TSLA,0.887983293,2/7/25,2,0,0,1,0.067318843,0.769855578,0.262216863,0.739634613,0.262216863,0.739634613,0
2/10/25,5,350.730011,77514900,2025-01-29 16:12:00-05:00,11,2,0,1,2025,0,0,17.3580172,-0.030114441,TSLA,0.590048492,2/10/25,3,0,0,1,0.585535497,0.507181,0.387370149,0.699007328,0.387370149,0.699007328,0
2/11/25,6,328.5,118543400,2025-01-29 16:12:00-05:00,12,2,1,1,2025,0,0,23.5912949,-0.063382118,TSLA,0.899982274,2/11/25,2,0,0,1,0.492677261,0.451928589,0.421149873,0.630662679,0.421149873,0.630662679,0
2/12/25,7,336.5100098,105382700,2025-01-29 16:12:00-05:00,13,2,2,1,2025,0,0,26.14911123,0.024383591,TSLA,0.291800698,2/12/25,3,0,0,1,0.792671353,0.175579075,0.489554502,0.603490291,0.489554502,0.603490291,0
2/13/25,8,355.9400024,89441500,2025-01-29 16:12:00-05:00,14,2,3,1,2025,0,0,24.34101299,0.057739717,TSLA,1,2/13/25,1,0,0,1,0.593943821,0.304109499,0.410253041,0.584891028,0.464835276,0.563080993,0
2/14/25,9,355.8399963,68277300,2025-01-29 16:12:00-05:00,15,2,4,1,2025,0,0,20.46438213,-0.000280963,TSLA,0,2/14/25,3,0,0,1,0.730594324,0.383282887,0.648348279,0.375012247,0.524298023,0.556102548,0
