"time_idx","date","close","volume","days_since_earning","month","day_of_week","quarter","year","is_month_end","is_month_start","rolling_volatility","return_1d","cumulative_return","unique_id","daily_sentiment","post_count","spike_presence","spike_intensity","log_close"
12,"2024-06-26","196.3699951","95737100",63,6,2,2,2024,False,False,"5.465740885","0.048145123","123.2963307","TSLA","0.3275",4,False,"0","5.280000609809243"
13,"2024-06-27","197.4199982","72746500",64,6,3,2,2024,False,False,"6.320993885","0.005347065","123.9556042","TSLA","0.9099999999999999",2,False,"0","5.285333429872125"
14,"2024-06-28","197.8800049","95438100",65,6,4,2,2024,False,False,"7.158467481","0.002330092","124.2444321","TSLA","0.92",1,False,"0","5.28766081112199"
15,"2024-07-01","209.8600006","135691400",68,7,0,3,2024,False,True,"9.190385722","0.060541719","131.7664036","TSLA","-0.4633333333333334",4,False,"0","5.346440644588814"
16,"2024-07-02","231.2599945","205047900",69,7,1,3,2024,False,False,"15.60231909","0.101972714","145.2029815","TSLA","-0.45",2,False,"0","5.4435425949180605"
17,"2024-07-05","251.5200043","154501200",72,7,4,3,2024,False,False,"25.72860815","0.02082067","157.9237888","TSLA","0.15",2,False,"0","5.527522526336898"
18,"2024-07-08","252.9400024","157219600",75,7,0,3,2024,False,False,"27.51328023","0.005645667","158.8153739","TSLA","0.625",3,False,"0","5.533152315940247"
19,"2024-07-09","262.3299866","160210900",76,7,1,3,2024,False,False,"28.4974639","0.037123365","164.711135","TSLA","1",1,False,"0","5.569603202107559"
20,"2024-07-10","263.2600098","128519400",77,7,2,3,2024,False,False,"27.9528539","0.003545242","165.2950758","TSLA","0.6",1,False,"0","5.573142174222817"
21,"2024-07-11","241.0299988","221707300",78,7,3,3,2024,False,False,"25.25656811","-0.084441275","151.3373488","TSLA","0.46499999999999997",4,False,"0","5.484921402092665"
22,"2024-07-12","248.2299957","155955800",79,7,4,3,2024,False,False,"21.61822427","0.029871788","155.8580659","TSLA","0.37",2,False,"0","5.514355718409555"
23,"2024-07-15","252.6399994","146912900",82,7,0,3,2024,False,False,"15.77784706","0.017765797","158.6270087","TSLA","0.77",2,False,"0","5.531965548132411"
24,"2024-07-16","256.5599976","126332500",83,7,1,3,2024,False,False,"9.619614346","0.015516142","161.0882879","TSLA","1",0,False,"0","5.547362546030362"
25,"2024-07-18","249.2299957","110869000",85,7,3,3,2024,False,False,"6.7197607","0.002937609","156.4859436","TSLA","0.8",1,False,"0","5.518376147647182"
26,"2024-07-23","246.3800049","111928200",90,7,1,3,2024,False,False,"7.016608208","-0.020396762","154.696498","TSLA","-1",1,False,"0","5.506875079421806"
27,"2024-07-24","215.9900055","167942900",0,7,2,3,2024,False,False,"11.39098448","-0.123346046","135.6152967","TSLA","-1",1,False,"0","5.375232135780304"
28,"2024-07-26","219.8000031","94604100",2,7,4,3,2024,False,False,"15.41951224","-0.002043119","138.007509","TSLA","0.8",0,False,"0","5.392718056073251"
29,"2024-07-30","222.6199951","100560300",6,7,1,3,2024,False,False,"14.04030044","-0.04084451","139.778119","TSLA","0.52",1,False,"0","5.405466260054479"
30,"2024-08-02","207.6699982","82880100",9,8,4,3,2024,False,False,"13.90467011","-0.042377582","130.39135","TSLA","0.52",2,False,"0","5.33595027268729"
31,"2024-08-05","198.8800049","100308800",12,8,0,3,2024,False,False,"13.3460899","-0.042326736","124.8723097","TSLA","0.86",1,False,"0","5.292701652400373"
